,Award,Year,Type,Recipient,Category
0,Academy of Country Music Awards ,2008,Swift,New Female Vocalist of the Year,Artist
1,Academy of Country Music Awards ,2009,Fearless,Female Vocalist of the Year,Album
2,Academy of Country Music Awards ,2009,Swift,Female Vocalist of the Year,Artist
3,Academy of Country Music Awards ,2011,"""You Belong with Me""",Song of the Year,Song
4,Academy of Country Music Awards ,2011,"""You Belong with Me""",Entertainer of the Year,Song
5,Academy of Country Music Awards ,2012,Speak Now,Female Vocalist of the Year,Album
6,Academy of Country Music Awards ,2014,"""Highway Don't Care"" (with Tim McGraw and Keith Urban)",Female Vocalist of the Year,Song
7,Academy of Country Music Awards ,2015,"""Highway Don't Care"" (with Tim McGraw and Keith Urban)",Vocal Event of the Year,Song
8,ADG Excellence in Production Design Award,2022,"""Lover""","Variety, Reality, or Competition Series",Song
9,American Country Awards,2013,"""Ours""",Worldwide Artist,Song
10,American Country Awards,2013,"""Highway Don't Care"" (with Tim McGraw and Keith Urban)",Female Video of the Year,Song
11,American Country Awards,2013,"""Highway Don't Care"" (with Tim McGraw and Keith Urban)",Collaborative Video of the Year,Song
12,American Country Awards,2013,"""Highway Don't Care"" (with Tim McGraw and Keith Urban)",Song of the Year (Songwriters Award),Song
13,AMFT Awards[b],2020,Folklore,Album of the Year,Album
14,AMFT Awards[b],2020,Folklore,Best Folk Album,Album
15,AMFT Awards[b],2020,"""Cardigan""",Best Folk Album,Song
16,AMFT Awards[b],2020,"""Exile"" (featuring Bon Iver)",Best Folk Album,Song
17,American Music Awards,2008,Swift,Favorite Country Female Artist,Artist
18,American Music Awards,2009,Swift,Favorite Country Female Artist,Artist
19,American Music Awards,2009,Swift,Favorite Pop/Rock Female Artist,Artist
20,American Music Awards,2009,Swift,Favorite Country Female Artist,Artist
21,American Music Awards,2009,Swift,Favorite Adult Contemporary Artist,Artist
22,American Music Awards,2009,Fearless,Favorite Adult Contemporary Artist,Album
23,American Music Awards,2010,Fearless,Favorite Pop/Rock Album,Album
24,American Music Awards,2011,Fearless,Favorite Pop/Rock Album,Album
25,American Music Awards,2011,Fearless,Favorite Country Female Artist,Album
26,American Music Awards,2011,Speak Now,Favorite Country Female Artist,Album
27,American Music Awards,2012,Speak Now,Favorite Country Female Artist,Album
28,American Music Awards,2013,Speak Now,Favorite Country Female Artist,Album
29,American Music Awards,2013,Speak Now,Favorite Pop/Rock Female Artist,Album
30,American Music Awards,2013,Speak Now,Favorite Country Female Artist,Album
31,American Music Awards,2013,Red,Favorite Country Female Artist,Album
32,American Music Awards,2014,Red,Favorite Pop/Rock Album,Album
33,American Music Awards,2015,Red,Favorite Adult Contemporary Artist,Album
34,American Music Awards,2015,1989,Favorite Adult Contemporary Artist,Album
35,American Music Awards,2015,"""Blank Space""",Favorite Adult Contemporary Artist,Song
36,American Music Awards,2018,"""Bad Blood"" (featuring Kendrick Lamar)",Favorite Adult Contemporary Artist,Song
37,American Music Awards,2018,"""Bad Blood"" (featuring Kendrick Lamar)",Favorite Pop/Rock Female Artist,Song
38,American Music Awards,2018,Reputation,Favorite Pop/Rock Female Artist,Album
39,American Music Awards,2018,Reputation,Reputation Stadium Tour,Album
40,American Music Awards,2019,Reputation,Reputation Stadium Tour,Album
41,American Music Awards,2019,Reputation,Artist of the Year,Album
42,American Music Awards,2019,Reputation,Favorite Pop/Rock Female Artist,Album
43,American Music Awards,2019,Reputation,Favorite Adult Contemporary Artist,Album
44,American Music Awards,2019,"""You Need to Calm Down""",Favorite Adult Contemporary Artist,Song
45,American Music Awards,2019,Lover,Favorite Adult Contemporary Artist,Album
46,American Music Awards,2020,Lover,Favorite Adult Contemporary Artist,Album
47,American Music Awards,2020,Lover,Favorite Pop/Rock Female Artist,Album
48,American Music Awards,2020,"""Cardigan""",Favorite Pop/Rock Female Artist,Song
49,American Music Awards,2021,Folklore,Favorite Pop/Rock Female Artist,Album
50,American Music Awards,2021,Evermore,Favorite Pop/Rock Female Artist,Album
51,American Music Awards,2022,Evermore,Favorite Pop/Rock Female Artist,Album
52,American Music Awards,2022,Evermore,Favorite Country Female Artist,Album
53,American Music Awards,2022,Evermore,Favorite Pop/Rock Female Artist,Album
54,American Music Awards,2022,Evermore,All Too Well: The Short Film,Album
55,American Music Awards,2022,Evermore,Red (Taylor's Version),Album
56,American Music Awards,2022,Evermore,Favorite Pop Album,Album
57,Anthem Awards,2024,Vote.org + Taylor Swift on National Voter Registration Day,Human & Civil Rights – Awareness & Media Categories (Non Profit),Album
58,Apple Music Awards,2020,Swift,Songwriter of the Year,Artist
59,Apple Music Awards,2023,Swift,Songwriter of the Year,Artist
60,ARIA Music Awards,2019,Swift,Most Popular International Artist,Artist
61,ARIA Music Awards,2021,Swift,Most Popular International Artist,Artist
62,ARIA Music Awards,2023,Swift,Most Popular International Artist,Artist
63,Attitude Awards,2020,Swift,Attitude Icon Award,Artist
64,A2IM Libera Awards,2018,Swift,Road Warrior of the Year,Artist
65,BBC Music Awards ,2015,Swift,International Artist of the Year,Artist
66,BBC Radio 1 Teen Awards,2016,Swift,Most Entertaining Celebrity,Artist
67,Billboard Music Awards,2011,Swift,Top Billboard 200 Artist,Artist
68,Billboard Music Awards,2011,Swift,Top Country Artist,Artist
69,Billboard Music Awards,2011,Speak Now,Top Country Album,Album
70,Billboard Music Awards,2012,"""Mine""",Woman of the Year,Song
71,Billboard Music Awards,2013,"""Mine""",Woman of the Year,Song
72,Billboard Music Awards,2013,"""Mine""",Top Female Artist,Song
73,Billboard Music Awards,2013,"""Mine""",Top Billboard 200 Artist,Song
74,Billboard Music Awards,2013,"""Mine""",Top Country Artist,Song
75,Billboard Music Awards,2013,"""Mine""",Top Digital Songs Artist,Song
76,Billboard Music Awards,2013,Red,Top Digital Songs Artist,Album
77,Billboard Music Awards,2013,Red,Top Country Album,Album
78,Billboard Music Awards,2013,"""We Are Never Ever Getting Back Together""",Top Country Song,Song
79,Billboard Music Awards,2015,"""We Are Never Ever Getting Back Together""",Top Country Artist,Song
80,Billboard Music Awards,2015,"""We Are Never Ever Getting Back Together""",Top Female Artist,Song
81,Billboard Music Awards,2015,"""We Are Never Ever Getting Back Together""",Top Billboard 200 Artist,Song
82,Billboard Music Awards,2015,"""We Are Never Ever Getting Back Together""",Top Hot 100 Artist,Song
83,Billboard Music Awards,2015,"""We Are Never Ever Getting Back Together""",Top Digital Songs Artist,Song
84,Billboard Music Awards,2015,"""We Are Never Ever Getting Back Together""",Billboard Chart Achievement Award (Fan Voted),Song
85,Billboard Music Awards,2015,1989,Billboard Chart Achievement Award (Fan Voted),Album
86,Billboard Music Awards,2015,"""Shake It Off""",Top Streaming Song (Video),Song
87,Billboard Music Awards,2016,"""Blank Space""",Top Touring Artist,Song
88,Billboard Music Awards,2018,1989,Top Female Artist,Album
89,Billboard Music Awards,2018,Reputation,Top Selling Album,Album
90,Billboard Music Awards,2021,Swift,Billboard Chart Achievement Award,Artist
91,Billboard Music Awards,2021,Swift,Top Female Artist,Artist
