album,genre,song
Taylor Swift,Country pop,Teardrops on My Guitar
Taylor Swift,Pop rock,Should’ve Said No
Taylor Swift,Fiestas y Tradiciones,Tied Together With a Smile
Taylor Swift,Fiestas y Tradiciones,A Place in This World
Taylor Swift,Fiestas y Tradiciones,Should’ve Said No
Taylor Swift,Fiestas y Tradiciones,Tim McGraw
Taylor Swift,Fiestas y Tradiciones,Our Song
Taylor Swift,Soft rock,Teardrops on My Guitar
Taylor Swift,Country,Tied Together With a Smile
Taylor Swift,Country,Stay Beautiful
Taylor Swift,Country,A Place in This World
Taylor Swift,Country,Cold as You
Taylor Swift,Country,The Outside
Taylor Swift,Country,Should’ve Said No
Taylor Swift,Country,Tim McGraw
Taylor Swift,Country,Picture to Burn
Taylor Swift,Country,Teardrops on My Guitar
Taylor Swift,Country,Our Song
Taylor Swift,Country,Mary’s Song (Oh My My My)
Taylor Swift,Country rock,Should’ve Said No
Fearless,Pop,Love Story
Fearless,Pop,Love Story
Fearless,Pop,Forever & Always
Fearless,Pop,You Belong With Me
Fearless,Country pop,Love Story
Fearless,Country pop,Fifteen
Fearless,Country pop,Love Story
Fearless,Country pop,You Belong With Me
Fearless,Cantautor,Change
Fearless,Cantautor,Change
Fearless,Música alternativaIndie,Forever & Always
Fearless,Country,Breathe
Fearless,Country,Fifteen
Fearless,Country,Tell Me Why
Fearless,Country,White Horse
Fearless,Country,The Best Day
Fearless,Country,Forever & Always
Fearless,Country,Fearless
Fearless,Country,The Way I Loved You
Fearless,Country,You're Not Sorry
Red,Rock alternativo,The Last Time
Red,Country,Begin Again
Red,Country,All Too Well
Red,Pop,State of Grace
Red,Pop,Red
Red,Pop,All Too Well
Red,Pop,Everything Has Changed
Red,Pop,The Lucky One
Red,Pop,I Knew You Were Trouble
Red,Pop,Starlight
Red,Pop,I Almost Do
Red,Pop,22
Red,Pop,Holy Ground
Red,Pop,Stay Stay Stay
Red,Pop,Treacherous
Red,Pop,The Last Time
Red,Pop,Sad Beautiful Tragic
Red,Música disco,22
Red,Country pop,Begin Again
Red,Arena rock,State of Grace
Red,Arena rock,All Too Well
Red,Música tradicional,Everything Has Changed
Red,Fiestas y Tradiciones,State of Grace
Red,Fiestas y Tradiciones,Red
Red,Fiestas y Tradiciones,All Too Well
Red,Fiestas y Tradiciones,The Lucky One
Red,Fiestas y Tradiciones,Starlight
Red,Fiestas y Tradiciones,I Almost Do
Red,Fiestas y Tradiciones,22
Red,Fiestas y Tradiciones,Holy Ground
Red,Fiestas y Tradiciones,Stay Stay Stay
Red,Fiestas y Tradiciones,Treacherous
Red,Fiestas y Tradiciones,The Last Time
Red,Fiestas y Tradiciones,Sad Beautiful Tragic
Red,Dance pop,22
Red,Bubblegum pop,22
1989,Dream pop,Wildest Dreams
1989,Synth pop,Wildest Dreams
1989,Synth pop,Style
1989,Pop,Wildest Dreams
1989,Pop,I Know Places
1989,Pop,Out of the Woods
1989,Pop,Shake It Off
1989,Pop,How You Get the Girl
1989,Pop,Clean
1989,Pop,Bad Blood
1989,Pop,All You Had to Do Was Stay
1989,Pop,Welcome To New York
1989,Pop,Blank Space
1989,Pop,I Wish You Would
1989,Electropop,Bad Blood
1989,Dance pop,Shake It Off
Reputation,Rhythm and blues,Dress
Reputation,Rhythm and blues,End Game
Reputation,Pop progresivo,Look What You Made Me Do
Reputation,DanceMúsica electrónica,…Ready for It?
Reputation,DanceMúsica electrónica,Gorgeous
Reputation,DanceMúsica electrónica,End Game
Reputation,DanceMúsica electrónica,Delicate
Reputation,Synth pop,I Did Something Bad
Reputation,Synth pop,Getaway Car
Reputation,Pop,…Ready for It?
Reputation,Pop,Gorgeous
Reputation,Pop,End Game
Reputation,Pop,Delicate
Reputation,Balada,New Year’s Day
Reputation,Trap,Dancing With Our Hands Tied
Reputation,Música infantil,…Ready for It?
Reputation,EDM,Dancing With Our Hands Tied
Reputation,Electropop,King of My Heart
Reputation,Electropop,…Ready for It?
Reputation,Electropop,Look What You Made Me Do
Reputation,Electropop,So It Goes…
Reputation,Electropop,Don’t Blame Me
Reputation,R&BSoul,…Ready for It?
Reputation,R&BSoul,Delicate
Reputation,Hip-hopRap,…Ready for It?
Reputation,Hip-hopRap,Delicate
Reputation,Cantautor,Look What You Made Me Do
Reputation,Power pop,End Game
Reputation,Rock,Gorgeous
Reputation,Rock,End Game
Reputation,Rock,Delicate
Reputation,Dance pop,Look What You Made Me Do
Reputation,Pop rap,End Game
Reputation,Música industrial,…Ready for It?
Reputation,Música alternativaIndie,Gorgeous
Reputation,Música alternativaIndie,End Game
Reputation,Música alternativaIndie,Delicate
Reputation,Country,Gorgeous
Reputation,Country,End Game
Reputation,Country,Delicate
Lover,Pop,It’s Nice To Have A Friend
Lover,Pop,Paper Rings
Lover,Pop,Cruel Summer
Lover,Pop,I Think He Knows
Lover,Pop,Daylight
Lover,Pop,Death By A Thousand Cuts
Lover,Pop,ME!
Lover,Pop,Cornelia Street
Lover,Pop,The Archer
Lover,Pop,False God
Lover,Pop,Miss Americana & The Heartbreak Prince
Lover,Pop,I Forgot That You Existed
Lover,Pop,You Need to Calm Down
Lover,Pop,The Man
Lover,Pop,Lover
Lover,Pop,London Boy
Lover,Pop,Afterglow
Lover,Pop,Soon You’ll Get Better
Lover,Bubblegum pop,ME!
Folklore,Chamber pop,epiphany
Folklore,Indie rock,cardigan
Folklore,Dream pop,august
Folklore,Country,betty
Folklore,Ambient,epiphany
Folklore,Pop,invisible string
Folklore,Pop,betty
Folklore,Pop,the last great american dynasty
Folklore,Pop,mad woman
Folklore,Pop,the 1
Folklore,Pop,peace
Folklore,Folk rock,betty
Folklore,Indie folk,Mirrorball
Folklore,Indie folk,exile
Folklore,Folk-pop,illicit affairs
Folklore,Pop rock,betty
Folklore,Pop rock,the last great american dynasty
Folklore,Música folclórica,the 1
Folklore,Música tradicional,invisible string
Folklore,Música tradicional,cardigan
Folklore,Guitar Pop,august
Folklore,Folktrónica,the last great american dynasty
Folklore,Soft rock,the 1
Folklore,Soft rock,cardigan
Folklore,Música alternativaIndie,Mirrorball
Folklore,Música alternativaIndie,epiphany
Folklore,Música alternativaIndie,invisible string
Folklore,Música alternativaIndie,hoax
Folklore,Música alternativaIndie,august
Folklore,Música alternativaIndie,this is me trying
Folklore,Música alternativaIndie,illicit affairs
Folklore,Música alternativaIndie,mad woman
Folklore,Música alternativaIndie,the 1
Folklore,Música alternativaIndie,My Tears Ricochet
Folklore,Música alternativaIndie,seven
Folklore,Música alternativaIndie,peace
Folklore,Música alternativaIndie,cardigan
Folklore,Música alternativaIndie,exile
Evermore,Americana,dorothea
Evermore,Chamber pop,ivy
Evermore,Rock alternativo,ivy
Evermore,Pop,champagne problems
Evermore,Pop,tolerate it
Evermore,Pop,‘tis the damn season
Evermore,Pop,willow
Evermore,Pop,dorothea
Evermore,Folk rock,ivy
Evermore,Indie folk,ivy
Evermore,Balada,champagne problems
Evermore,Pop rock,"no body, no crime"
Evermore,R&BSoul,tolerate it
Evermore,R&BSoul,‘tis the damn season
Evermore,R&BSoul,willow
Evermore,R&BSoul,dorothea
Evermore,Música alternativaIndie,tolerate it
Evermore,Música alternativaIndie,long story short
Evermore,Música alternativaIndie,ivy
Evermore,Música alternativaIndie,coney island
Evermore,Música alternativaIndie,‘tis the damn season
Evermore,Música alternativaIndie,"no body, no crime"
Evermore,Música alternativaIndie,closure
Evermore,Música alternativaIndie,happiness
Evermore,Música alternativaIndie,marjorie
