,song,lyrics
0,Fortnight,"[Verse 1: Taylor Swift]
I was supposed to be sent away
But they forgot to come and get me

I was a functioning alcoholic
'Til nobody noticed my new aesthetic

All of this to say I hope you're okay

But you're the reason

And no one here's to blame
But what about your quiet treason?


[Chorus: Taylor Swift]
And for a fortnight there, we were forever

Run into you sometimes, ask about the weather
Now you're in my backyard, turned into good neighbors

Your wife waters flowers, I wanna kill her


[Verse 2: Taylor Swift, Taylor Swift & Post Malone, Post Malone]
All my mornings are Mondays stuck in an endless February

I took the miracle move-on drug, the effects were temporary

And I love you, it's ruining my life
I love you, it's ruining my life

I touched you for only a fortnight
I touched you, but I touched you


[Chorus: Taylor Swift, Taylor Swift & Post Malone]
And for a fortnight there, we were forever

Run into you sometimes, ask about the weather
Now you're in my backyard, turned into good neighbors

Your wife waters flowers, I wanna kill her

And for a fortnight there, we were together

Run into you sometimes, comment on my sweater
Now you're at the mailbox, turned into good neighbors

My husband is cheating, I wanna kill him"
1,The Tortured Poets Department,"[Verse 1]
You left your typewriter at my apartment

Straight from the tortured poets department

I think some things I never say
Like, ""Who uses typewriters anyway?""

But you're in self-sabotage mode

Throwing spikes down on the road
But I've seen this episode and still loved the show

Who else decodes you?

[Chorus]
And who's gonna hold you like me?
And who's gonna know you, if not me?
I laughed in your face and said
""You're not Dylan Thomas, I'm not Patti Smith
This ain't the Chelsea Hotel, we'rе modern idiots""

And who's gonna hold you like me?

[Post-Chorus]
Nobody
No-fucking-body
Nobody

[Verse 2]
You smokеd, then ate seven bars of chocolate

We declared Charlie Puth should be a bigger artist

I scratch your head, you fall asleep

Like a tattooed golden retriever

But you awaken with dread
Pounding nails in your head

But I've read this one where you come undone

I chose this cyclone with you"
2,My Boy Only Breaks His Favorite Toys,"[Verse 1]
Oh, here we go again
The voices in his head
Called the rain to end our days of wild

The sickest army doll

Purchased at the mall
Rivulets descend my plastic smile


[Pre-Chorus]
But you should've seen him when he first got me

[Chorus]
My boy only breaks his favorite toys, toys, oh
I'm queen of sand castles he destroys, oh, oh

'Cause it fit too right, puzzle pieces in the dead of night

I should've known it was a matter of time, oh, oh
My boy only breaks his favorite toys, oh, oh

[Verse 2]
There was a litany of reasons why
We could've playеd for keeps this time
I know I'm just repeating mysеlf

Put me back on my shelf
But first, pull the string

And I'll tell you that he runs
Because he loves me (He loves me)"
3,Down Bad,"[Verse 1]
Did you really beam me up

In a cloud of sparkling dust

Just to do experiments on?
Tell me I was the chosen one
Showed me that this world is bigger than us
Then sent me back where I came from

[Pre-Chorus]
For a moment, I knew cosmic love


[Chorus]
Now I'm down bad, cryin' at the gym

Everything comes out teenage petulance

""Fuck it if I can't have him""
""I might just die, it would make no difference""

Down bad, wakin' up in blood
Starin' at the sky, come back and pick me up

Fuck it if I can't have us
I might just not get up, I might stay


[Post-Chorus]
Down bad
Fuck it if I can't have him
Down bad
Fuck it if I can't have him"
4,"So Long, London","[Intro]
So (So), long (Long), London (London)
So (So), long (Long), London (London)
So (So), long (Long), London (London)


[Verse 1]
I saw in my mind fairy lights through the mist

I kept calm and carried the weight of the rift

Pulled him in tighter each time he was driftin' away
My spine split from carrying us up the hill

Wet through my clothes, weary bones caught the chill
I stopped tryna make him laugh,
stopped tryna drill the safe

[Chorus]
Thinkin', ""How much sad did you think I had
Did you think I had in me?""
Oh, the tragedy
So long, London
You'll find someone


[Verse 2]
I didn't opt in to be your odd man out
I founded the club she's heard great things about

I left all I knew, you left me at the house by the Heath

I stoppеd CPR, after all, it's no use
The spirit was gonе, we would never come to

And I'm pissed off you let me give you all that youth for free"
5,But Daddy I Love Him,"[Verse 1]
I forget how the West was won
I forget if this was ever fun

I just learned these people only raise you
To cage you

Sarahs and Hannahs in their Sunday best

Clutchin' their pearls, sighing, ""What a mess""
I just learned these people try and save you
'Cause they hate you

[Pre-Chorus]
Too high a horse for a simple girl
To rise above it

They slammed the door on my whole world
The one thing I wanted

[Chorus]
Now I'm runnin' with my dress unbuttoned
Scrеamin', ""But, Daddy, I love him

I'm havin' his baby""

No, I'm not, but you should see your faces
I'm tellin' him to floor it through thе fences
No, I'm not coming to my senses

I know he's crazy, but he's the one I want

[Verse 2]
Dutiful daughter, all my plans were laid

Tendrils tucked into a woven braid

Growin' up precocious sometimes means
Not growin' up at all

He was chaos, he was revelry
Bedroom eyes like a remedy

Soon enough, the elders had convened
Down at the city hall"
6,Fresh Out The Slammer,"[Intro]
Now, pretty baby, I'm runnin' back home to you

Fresh out the slammer, I know who my first call will be to

(Fresh out the slammer, oh)

[Verse 1]
Another summer takin' cover, rolling thunder

He don't understand me
Splintered back in winter
, silent dinners, bitter

He was with her in dreams


[Pre-Chorus]
Gray and blue and fights and tunnels

Handcuffed to the spell I was under
For just one hour of sunshine

Years of labor, locks, and ceilings
In the shade of how he was feeling
But it's gonna be alright, I did my time

[Chorus]
Now, pretty baby, I'm runnin' back home to you

Frеsh out the slammer, I know who my first call will be to
(Frеsh out the slammer, oh)

[Verse 2]
Camera flashes, welcome bashes, get the matches
Toss the ashes off the ledge
As I said in my letters, now that I know better
I will never lose my baby again"
7,Florida!!!,"[Verse 1: Taylor Swift]
You can beat the heat if you beat the charges too

They said I was a cheat, I guess it must be true
And my friends all smell like weed or little babies

And this city reeks of driving myself crazy

[Pre-Chorus: Taylor Swift]
Little did you know your home's really only
A town you're just a guest in

So you work your life away just to pay
For a time-share
down in Destin


[Chorus: Taylor Swift & Florence Welch, Taylor Swift]
Florida
Is one hell of a drug
Florida
Can I use you up?


[Verse 2: Florence Welch]
The hurricane with my name when it came
I got drunk and I dared it to wash me away

Barricaded in the bathroom with a bottle of wine

Well, me and my ghosts, wе had a hell of a time
Yes, I'm hauntеd, but I'm feeling just fine

All my girls got their lace and their crimes
And your cheating husband disappeared, well
No one asks any questions here"
8,Guilty as Sin?,"[Verse 1]
Drownin' in the Blue Nile
He sent me ""Downtown Lights""
I hadn't heard it in a while

My boredom's bone-deep
This cage was once just fine

Am I allowed to cry?

I dream of crackin' locks

Throwin' my life to the wolves
or the ocean rocks

Crashin' into him tonight, he's a paradox
I'm seeing visions
Am I bad or mad or wise?


[Chorus]
What if he's written ""mine
"" on my upper thigh
only in my mind?
One slip and fallin' back into the hedge maze

Oh, what a way to die
I keep recalling things we never did

Messy top-lip kiss, how I long for our trysts

Without ever touchin' his skin
How can I be guilty as sin?


[Verse 2]
I keep these longings lockеd
In lowercase, inside a vault

Somеone told me, ""There's no such thing as bad thoughts
Only your actions talk""

These fatal fantasies
Giving way to labored breath, takin' all of me

We've already done it in my head
If it's make-believe

Why does it feel like a vow we'll both uphold somehow?"
9,Who's Afraid of Little Old Me?,"[Verse 1]
The who's who of ""Who's that?"" is poised for the attack

But my bare hands paved their paths

You don't get to tell me about ""sad""


[Pre-Chorus]
If you wanted me dead, you should've just said
Nothing makes me feel more alive

[Chorus]
So I leap from the gallows and I levitate down your street

Crash the party like a record scratch
as I scream
""Who's afraid of little old me?""

You should be

[Verse 2]
The scandal was contained
The bullet had just grazed

At all costs, keep your good name
You don't get to tell me you feel bad

[Pre-Chorus]
Is it a wonder I broke? Let's hear one morе joke

Then we could all just laugh until I cry


[Chorus]
So I lеap from the gallows and I levitate down your street
Crash the party like a record scratch as I scream
""Who's afraid of little old me?""

I was tame, I was gentle 'til the circus life made me mean

""Don't you worry, folks, we took out all her teeth""

Who's afraid of little old me
?
Well, you should be"
