Song,Album,Lyrics
22 (Taylor’s Version),Red (Taylor’s Version),"It feels like a perfect night  To dress up like hipsters  And make fun of our exes  Uh-uh, uh-uh  It feels like a perfect night  For breakfast at midnight  To fall in love with strangers  Uh-uh, uh-uh  Yeah  We're happy, free, confused, and lonely at the same time  It's miserable and magical, oh yeah  Tonight's the night when we forget about the deadlines  It's time, oh-oh  I don't know about you  But I'm feelin' twenty-two  Everything will be alright if  You keep me next to you  You don't know about me  But I'll bet you want to  Everything will bе alright if  We just keep dancin' like we'rе  Twenty-two  Twenty-two  It seems like one of those nights  This place is too crowded  Too many cool kids  Uh-uh, uh-uh (Who's Taylor Swift anyway? Ew)  It seems like one of those nights  We ditch the whole scene  And end up dreamin'  Instead of sleepin'  Yeah  We're happy, free, confused, and lonely in the best way  It's miserable and magical, oh, yeah  Tonight's the night when we forget about the heartbreaks  It's time, oh-oh  (Hey)  I don't know about you  But I'm feelin' twenty-two  Everything will be alright if (Ooh)  You keep me next to you  But I'll bet you want to  Everything will be alright if (Alright)  We just keep dancin' like we're  Twenty-two (Oh, oh, oh, oh, oh)  Twenty-two (I don't know about you)  Twenty-two  Twenty-two (Ooh)  It feels like one of those nights  We ditch the whole scene  It feels like one of those nights  We won't be sleepin'  It feels like one of those nights  You look like bad news  I gotta have you  I gotta have you  Ooh, oh  Yeah, hey, yeah  (Hey)  I don't know about you (I don't know about you)  But I'm feelin' twenty-two  Everything will be alright if (Ooh, oh-oh)  You keep me next to you  You don't know about me (You don't know about me)  But I'll bet you want to  Everything will be alright if  We just keep dancin' like we're (Dance like we're twenty-two)  Twenty-two (Ooh, woah-oh-oh-oh)  Twenty-two (Dancin' like)  Twenty-two (Yeah, yeah)  Twenty-two (Yeah, yeah, yeah)  It feels like one of those nights (Twenty-two)  We ditch the whole scene  It feels like one of those nights (Twenty-two)  We won't be sleepin'  It feels like one of those nights (Twenty-two)  You look like bad news"
All Too Well (Taylor’s Version),Red (Taylor’s Version),"I walked through the door with you, the air was cold  But something 'bout it felt like home somehow  And I left my scarf there at your sister's house  And you've still got it in your drawer, even now  Oh, your sweet disposition and my wide-eyed gaze  We're singing in the car, getting lost upstate  Autumn leaves falling down like pieces into place  And I can picture it after all these days  And I know it's long gone and  That magic's not here no more  And I might be okay, but I'm not fine at all  Oh, oh, oh  'Causе there we arе again on that little town street  You almost ran the red 'cause you were lookin' over at me  Wind in my hair, I was there  I remember it all too well  Photo album on the counter, your cheeks were turning red  You used to be a little kid with glasses in a twin-sized bed  And your mother's telling stories 'bout you on the tee-ball team  You taught me 'bout your past, thinking your future was me  And I know it's long gone and  There was nothing else I could do  And I forget about you long enough  To forget why I needed to  'Cause there we are again in the middle of the night  We're dancing 'round the kitchen in the refrigerator light  Down the stairs, I was there  I remember it all too well, yeah  And maybe we got lost in translation  Maybe I asked for too much  But maybe this thing was a masterpiece  'Til you tore it all up  Running scared, I was there  I remember it all too well  And you call me up again  Just to break me like a promise  So casually cruel in the name of being honest  I'm a crumpled up piece of paper lying here  'Cause I remember it all, all, all  Too well  Time won't fly, it's like I'm paralyzed by it  I'd like to be my old self again, but I'm still trying to find it  After plaid shirt days and nights when you made me your own  Now you mail back my things and I walk home alone  But you keep my old scarf from that very first week  'Cause it reminds you of innocence and it smells like me  You can't get rid of it  'Cause you remember it all too well, yeah  'Cause there we are again when I loved you so  Back before you lost the one real thing you've ever known  It was rare, I was there  I remember it all too well  Wind in my hair, you were there  You remember it all  Down the stairs, you were there  You remember it all  It was rare, I was there"
Begin Again (Taylor’s Version),Red (Taylor’s Version),"Took a deep breath in the mirror  He didn't like it when I wore high heels  But I do  Turn the lock and put my headphones on  He always said he didn't get this song  But I do, I do  I walked in, expecting you'd be late  But you got here early and you stand and wave  I walk to you  You pull my chair out and help me in  And you don't know how nice that is  But I do  And you throw your head back laughing like a little kid  I think it's strange that you think I'm funny 'cause he never did  I've been spending the last eight months  Thinking all love ever does is break, and burn, and end  But on a Wеdnesday in a café, I watched it begin again  You said you nеver met one girl who  Had as many James Taylor records as you  But I do  We tell stories and you don't know why  I'm coming off a little shy  But I do  But you throw your head back laughing like a little kid  I think it's strange that you think I'm funny 'cause he never did  Thinking all love ever does is break, and burn, and end  But on a Wednesday in a café, I watched it begin again  And we walked down the block to my car  And I almost brought him up  But you start to talk about the movies  That your family watches every single Christmas  And I want to talk about that  And for the first time, what's past is past  'Cause you throw your head back laughing like a little kid  I think it's strange that you think I'm funny 'cause he never did  On a Wednesday in a café, I watched it begin again"
Come Back...Be Here (Taylor’s Version),Red (Taylor’s Version),"You said it in a simple way  4 AM, the second day  How strange that I don't know you at all  Stumbled through the long goodbye  One last kiss, then catch your flight  Right when I was just about to fall  I told myself, ""Don't get attached""  But in my mind, I play it back  Spinning faster than the plane that took you  And this is when the feeling sinks in  I don't wanna miss you like this  Come back, be here, come back, be here  I guess you're in New York today  I don't wanna need you this way  Come back, be here, come back, be here  The delicate beginning rush  The feeling you can know so much  Without knowing anything at all  And now that I can put this down  If I had known what I know now  I never would've played so nonchalant  Taxi cabs and busy streets  That never bring you back to me  I can't help but wish you took me with you  Come back, be here, come back, be here  I guess you're in London today  And I don't wanna need you this way  Come back, be here, come back, be here  Oh-oh, oh-oh  Oh-oh, oh-oh  Oh-oh, oh-oh  This is falling in love in the cruelest way  This is falling for you when you are worlds away  In New York, be here  But you're in London, and I break down  'Cause it's not fair that you're not around  This is when the feeling sinks in  I don't wanna miss you like this  I guess you're in New York today  And I don't wanna need you this way  Oh-oh, oh-oh  I don't wanna miss you like this  Oh-oh, oh-oh  Come back, be here  Come back, be here"
Everything Has Changed (Taylor’s Version),Red (Taylor’s Version),"(You good to go?)  All I knew this morning when I woke  Is I know something now  Know something now I didn't before  And all I've seen since 18 hours ago  Is green eyes and freckles and your smile  In the back of my mind, making me feel like  I just wanna know you better  Know you better, know you better now  I just wanna know you better  Know you better, know you better now  I just wanna know you, know you, know you  'Cause all I know is we said, ""Hello""  And your eyes look like coming home  All I know is a simplе name  Everything has changed  All I know is you hеld the door  You'll be mine and I'll be yours  All I know since yesterday  Is everything has changed  And all my walls stood tall, painted blue  And I'll take 'em down, take 'em down  And open up the door for you  And all I feel in my stomach is butterflies  The beautiful kind, makin' up for lost time  Takin' flight, making me feel like  And your eyes look like coming home  All I know is a simple name  Everything has changed  All I know is you held the door  You'll be mine and I'll be yours  Come back and tell me why  I'm feeling like I've missed you all this time  And meet me there tonight  And let me know that it's not all in my mind  All I know is we said, ""Hello""  And your eyes look like coming home  All I know is you held the door  And you'll be mine and I'll be yours  All I know since yesterday  All I know is we said, ""Hello""  So dust off your highest hopes  All I know is pouring rain  And everything has changed  All I know is a new found grace  All my days, I'll know your face  All I know since yesterday"
Girl At Home (Taylor’s Version),Red (Taylor’s Version),"Don't look at me, you got a girl at home  And everybody knows that, everybody knows that, ah-ah  Don't look at me, you got a girl at home  And everybody knows that  I don't even know her  But I feel a responsibility  To do what's upstanding and right  It's kinda like a code, yeah  And you've been getting closer and closer  And crossing so many lines  And it would be a fine proposition  If I was a stupid girl  But, honey, I am no one's exception  This, I have previously learned  So don't look at me, you got a girl at home  And everybody knows that, everybody knows that, ah-ah  Don't look at me, you got a girl at home  And everybody knows that, еverybody knows that  I see you turn off your phone  And now you've got mе alone, and I say  Don't look at me, you got a girl at home  And everybody knows that, everybody knows that  I just wanna make sure  You understand perfectly  You're the kind of man who makes me sad  While she waits up  You chase down the newest thing  And take for granted what you have  If I was a stupid girl  And, yeah, I might go with it  If I hadn't once been just like her  Don't look at me, you got a girl at home  And everybody knows that, everybody knows that  I see you turn off your phone  And now you've got me alone, and I say  Don't look at me, you got a girl at home  Oh-oh  Oh-oh  Call a cab, lose my number  You're about to lose your girl  Call a cab, lose my number  Let's consider this lesson learned  And everybody knows that, everybody knows that  Wanna see you pick up your phone  And tell her you're coming home  Don't look at me, you got a girl at home  It would be a fine proposition  If I hadn't once been just like her"
Holy Ground (Taylor’s Version),Red (Taylor’s Version),"I was reminiscing just the other day  While having coffee all alone and, Lord, it took me away  Back to a first-glance feeling on New York time  Back when you fit my poems like a perfect rhyme  Took off faster than a green light, go  Yeah, you skip the conversation when you already know  I left a note on the door with a joke we'd made  And that was the first day  And darling, it was good  Never looking down  And right there where we stood  Was holy ground  Spinning like a girl in a brand new dress  We had this big, wide city all to ourselves  Wе block the noise with the sound of ""I need you""  And for thе first time, I had something to lose  And I guess we fell apart in the usual way  And the story's got dust on every page  But sometimes I wonder how you think about it now  And I see your face in every crowd  'Cause darling, it was good  Never looking down  Tonight I'm gonna dance  For all that we've been through  But I don't wanna dance  If I'm not dancing with you  Tonight I'm gonna dance  Like you were in this room  But I don't wanna dance  If I'm not dancing with you  It was good  Never looking down"
I Almost Do (Taylor’s Version),Red (Taylor’s Version),"I bet this time of night, you're still up  I bet you're tired from a long hard week  I bet you're sittin' in your chair by the window  Looking out at the city, and I bet  Sometimes you wonder 'bout me  And I just wanna tell you  It takes everything in me not to call you  And I wish I could run to you  And I hope you know that every time I don't  I almost do  I almost do  I bet you think I either moved on or hate you  'Cause each time you reach out, there's no reply  I bet it never, ever occurred to you  That I can't say hello to you and risk another goodbye  Oh, we made quite a mess, babe  It's probably better off this way  And I confess, baby  In my dreams, you're touching my face  And asking me if I wanna try again with you  And I almost do  I bet you're sittin' in your chair by the window  Looking out at the city, and I hope  Sometimes you wonder 'bout me"
I Knew You Were Trouble (Taylor’s Version),Red (Taylor’s Version),"Once upon a time, a few mistakes ago  I was in your sights, you got me alone  You found me, you found me  You found me-e-e-e-e  I guess you didn't care, and I guess I liked that  And when I fell hard, you took a step back  Without me, without me  Without me-e-e-e-e  And he's long gone when he's next to me  And I realize the blame is on me  'Cause I knew you were troublе when you walked in  So shame on mе now  Flew me to places I'd never been  'Til you put me down, oh  I knew you were trouble when you walked in  So shame on me now  Flew me to places I'd never been  Now I'm lying on the cold hard ground  Oh, oh-oh  Trouble, trouble, trouble  Oh, oh-oh  Trouble, trouble, trouble  No apologies, he'll never see you cry  Pretends he doesn't know that he's the reason why  You're drowning, you're drowning  You're drowning-ing-ing-ing-ing  And I heard you moved on from whispers on the street  A new notch in your belt is all I'll ever be  And now I see, now I see  Now I see-e-e-e-e  He was long gone when he met me  And I realize the joke is on me, yeah  I knew you were trouble when you walked in (Oh)  So shame on me now  Flew me to places I'd never been  So shame on me now  Flew me to places I'd never been (Yeah)  Now I'm lying on the cold hard ground  Oh, oh-oh  Trouble, trouble, trouble (Yeah, trouble)  Oh, oh-oh  And the saddest fear  Comes creeping in  That you never loved me  Or her, or anyone, or anything  Yeah, oh-oh  I knew you were trouble when you walked in  So shame on me now  Flew me to places I'd never been (Never been)  'Til you put me down, oh  I knew you were trouble when you walked in (Knew it right there)  So shame on me now (Knew it right there)  Flew me to places I'd never been (Ooh)  Now I'm lying on the cold hard ground  Oh, oh-oh  Trouble, trouble, trouble (Oh)  Oh, oh-oh  Trouble, trouble, trouble (Trouble)  'Cause I knew you were trouble when you walked in  Trouble, trouble, trouble  'Cause I knew you were trouble when you walked in  Trouble, trouble, trouble"
Message In A Bottle (Taylor’s Version) [From The Vault],Red (Taylor’s Version),"I know that you like me  And it's kinda frightenin' standin' here waitin', waitin'  And I became hypnotized  By freckles and bright eyes, tongue-tied  But now, you're so far away and I'm down  Feelin' like a face in the crowd  I'm reachin' for you, terrified  'Cause you could be the one that I love  I could be the one that you dream of  A message in a bottle is all I can do  Standin' here, hopin' it gets to you  You could be the one that I keep, and I  I could be the reason you can't sleep at night  A mеssage in a bottle is all I can do  Standin' herе, hopin' it gets to you  These days I'm restless  Workdays are endless, look how you made me, made me  But time moves faster  Replayin' your laughter, disaster  'Cause now, you're so far away and I'm down  Feelin' like a face in the crowd  I'm reachin' for you, terrified, 'cause  A message in a bottle is all I can do  Standin' here, hopin' it gets to you (It gets to you)  You could be the one that I keep, and I (Ah)  I could be the reason you can't sleep at night (At)  A message in a bottle is all I can do  Standin' here, hopin' it gets to you  How is it in London? (London)  Where were you while I'm wonderin' (Wonderin')  If I'll ever see you again?  You could be the one that I love, mm  And now I'm standin' here, hopin' it gets to you  'Cause you could be the one that I love (Yeah, yeah)  I could be the one that you dream of (Of)  A message in a bottle is all I can do  Standin' here, hopin' it gets to you (It gets to you)  You could be the one that I keep, and I  I could be the reason you can't sleep at night (I can't sleep at night)  A message in a bottle is all I can do (Yeah, yeah)  Standin' here, hopin' it gets to you (Yeah, yeah)  (Love) You could be the one that I love  (Love) You could be the one that I love  (Love) My love  And now I'm standin' here, hopin' this gets to you"
