Album,Song,genre,Lyrics
Red,22,Dance pop," feels like perfect night   dress up like hipsters   make fun our exes  Uh-uh, uh-uh   feels like perfect night   breakfast midnight   fall love strangers  Uh-uh, uh-uh  Yeah  We happy, free, confused, lonely same time   miserable magical, yeah  Tonight night we forget deadlines   time, oh-oh  I don know you   I feelin twenty-two  Everything will be alright  You keep me next you  You don know me   I bet you want  Everything will bе alright  We just keep dancin like we  Twenty-two  Twenty-two   seems like one those nights  This place is too crowded  Too many cool kids  Uh-uh, uh-uh ( Taylor Swift anyway? Ew)   seems like one those nights  We ditch whole scene   end up dreamin  Instead sleepin  Yeah  We happy, free, confused, lonely best way   miserable magical,  yeah  Tonight night we forget heartbreaks   time, oh-oh  (Hey)  I don know you   I feelin twenty-two  Everything will be alright (Ooh)  You keep me next you   I bet you want  Everything will be alright (Alright)  We just keep dancin like we  Twenty-two (     oh)  Twenty-two (I don know you)  Twenty-two  Twenty-two (Ooh)   feels like one those nights  We ditch whole scene   feels like one those nights  We won be sleepin   feels like one those nights  You look like bad news  I gotta have you  I gotta have you  Ooh,  Yeah, hey, yeah  (Hey)  I don know you (I don know you)   I feelin twenty-two  Everything will be alright (Ooh, oh-oh)  You keep me next you  You don know me (You don know me)   I bet you want  Everything will be alright  We just keep dancin like we (Dance like we twenty-two)  Twenty-two (Ooh, woah-oh-oh-oh)  Twenty-two (Dancin like)  Twenty-two (Yeah, yeah)  Twenty-two (Yeah, yeah, yeah)   feels like one those nights (Twenty-two)  We ditch whole scene   feels like one those nights (Twenty-two)  We won be sleepin   feels like one those nights (Twenty-two)  You look like bad news"
Red,22,Bubblegum pop," feels like perfect night   dress up like hipsters   make fun our exes  Uh-uh, uh-uh   feels like perfect night   breakfast midnight   fall love strangers  Uh-uh, uh-uh  Yeah  We happy, free, confused, lonely same time   miserable magical, yeah  Tonight night we forget deadlines   time, oh-oh  I don know you   I feelin twenty-two  Everything will be alright  You keep me next you  You don know me   I bet you want  Everything will bе alright  We just keep dancin like we  Twenty-two  Twenty-two   seems like one those nights  This place is too crowded  Too many cool kids  Uh-uh, uh-uh ( Taylor Swift anyway? Ew)   seems like one those nights  We ditch whole scene   end up dreamin  Instead sleepin  Yeah  We happy, free, confused, lonely best way   miserable magical,  yeah  Tonight night we forget heartbreaks   time, oh-oh  (Hey)  I don know you   I feelin twenty-two  Everything will be alright (Ooh)  You keep me next you   I bet you want  Everything will be alright (Alright)  We just keep dancin like we  Twenty-two (     oh)  Twenty-two (I don know you)  Twenty-two  Twenty-two (Ooh)   feels like one those nights  We ditch whole scene   feels like one those nights  We won be sleepin   feels like one those nights  You look like bad news  I gotta have you  I gotta have you  Ooh,  Yeah, hey, yeah  (Hey)  I don know you (I don know you)   I feelin twenty-two  Everything will be alright (Ooh, oh-oh)  You keep me next you  You don know me (You don know me)   I bet you want  Everything will be alright  We just keep dancin like we (Dance like we twenty-two)  Twenty-two (Ooh, woah-oh-oh-oh)  Twenty-two (Dancin like)  Twenty-two (Yeah, yeah)  Twenty-two (Yeah, yeah, yeah)   feels like one those nights (Twenty-two)  We ditch whole scene   feels like one those nights (Twenty-two)  We won be sleepin   feels like one those nights (Twenty-two)  You look like bad news"
Red,22,Pop," feels like perfect night   dress up like hipsters   make fun our exes  Uh-uh, uh-uh   feels like perfect night   breakfast midnight   fall love strangers  Uh-uh, uh-uh  Yeah  We happy, free, confused, lonely same time   miserable magical, yeah  Tonight night we forget deadlines   time, oh-oh  I don know you   I feelin twenty-two  Everything will be alright  You keep me next you  You don know me   I bet you want  Everything will bе alright  We just keep dancin like we  Twenty-two  Twenty-two   seems like one those nights  This place is too crowded  Too many cool kids  Uh-uh, uh-uh ( Taylor Swift anyway? Ew)   seems like one those nights  We ditch whole scene   end up dreamin  Instead sleepin  Yeah  We happy, free, confused, lonely best way   miserable magical,  yeah  Tonight night we forget heartbreaks   time, oh-oh  (Hey)  I don know you   I feelin twenty-two  Everything will be alright (Ooh)  You keep me next you   I bet you want  Everything will be alright (Alright)  We just keep dancin like we  Twenty-two (     oh)  Twenty-two (I don know you)  Twenty-two  Twenty-two (Ooh)   feels like one those nights  We ditch whole scene   feels like one those nights  We won be sleepin   feels like one those nights  You look like bad news  I gotta have you  I gotta have you  Ooh,  Yeah, hey, yeah  (Hey)  I don know you (I don know you)   I feelin twenty-two  Everything will be alright (Ooh, oh-oh)  You keep me next you  You don know me (You don know me)   I bet you want  Everything will be alright  We just keep dancin like we (Dance like we twenty-two)  Twenty-two (Ooh, woah-oh-oh-oh)  Twenty-two (Dancin like)  Twenty-two (Yeah, yeah)  Twenty-two (Yeah, yeah, yeah)   feels like one those nights (Twenty-two)  We ditch whole scene   feels like one those nights (Twenty-two)  We won be sleepin   feels like one those nights (Twenty-two)  You look like bad news"
Taylor Swift,A Place In This World,Country,"I don know I want, so don ask me   I still trying figure out  Don know down this road, I just walking  Trying see rain coming down  Even though I not only one   feels way I do  I alone, my own, that all I know  I be strong, I be wrong, life goes    I just girl, trying find place this world  Got radio on, my old blue jeans   I wearing my heart my sleeve  Feeling lucky today, got sunshine  Could you tell me more do I need   tomorrow just mystery, yeah   that okay  Maybe I just girl mission   I ready fly  I be strong, I be wrong, life goes   I alone, my own, that all I know   I just girl, trying find place this world   I just girl   I just girl,    I just girl"
Lover,Afterglow,Pop,"I blew things out proportion, now you blue  Put you jail something you didn do  I pinned your hands behind your back,  Thought I had reason attack, no  Fighting true love is boxing no gloves  Chemistry  blows up,  there no us   I have break I love so much?   your face, I blame, I need say  Hey, all me, my head  I one burned us down   not I meant  Sorry that I hurt you  I don wanna do, I don wanna do this you (Ooh)  I don wanna lose, I don wanna lose this you (Ooh)  I need say, hey, all me, just don go  Meet me afterglow   so excruciating see you low  Just wanna lift you up not let you go  This ultraviolet morning light  Tells me this love is worth fight,  I lived like island, punished you silence  Went off like sirens, just crying   I have break I love so much?   your face, don walk away, I need say   not I meant  I sorry that I hurt you  I don wanna do, I don wanna do this you (Ooh)  Tell me that you still mine  Tell me that we be just fine  Even I lose my mind  I need say  Tell me that not my fault  Tell me that I all you want  Even I break your heart  I need say"
Red,All Too Well,Arena rock,"I walked door you, air was cold   something  felt like home somehow   I left my scarf there your sister house   you still got your drawer, even now    your sweet disposition my wide-eyed gaze  We singing car, getting lost upstate  Autumn leaves falling down like pieces place   I can picture after all these days   I know long gone  That magic not here no more   I might be okay, I not fine all       there we arе again that little town street  You almost ran red  you were lookin me  Wind my hair, I was there  I remember all too well  Photo album counter, your cheeks were turning red  You used be little kid glasses twin-sized bed   your mother telling stories  you tee-ball team  You taught me  your past, thinking your future was me   I know long gone  There was nothing else I could do   I forget you long enough   forget I needed   there we are again middle night  We dancing  kitchen refrigerator light  Down stairs, I was there  I remember all too well, yeah   maybe we got lost translation  Maybe I asked too much   maybe this thing was masterpiece   you tore all up  Running scared, I was there  I remember all too well   you call me up again  Just break me like promise  So casually cruel name being honest  I crumpled up piece paper lying here   I remember all, all, all  Too well  Time won fly, like I paralyzed  I like be my old self again, I still trying find  After plaid shirt days nights you made me your own  Now you mail back my things I walk home alone   you keep my old scarf that very first week   reminds you innocence smells like me  You can get rid   you remember all too well, yeah   there we are again I loved you so  Back before you lost one real thing you ever known   was rare, I was there  I remember all too well  Wind my hair, you were there  You remember all  Down stairs, you were there  You remember all   was rare, I was there"
Red,All Too Well,Country,"I walked door you, air was cold   something  felt like home somehow   I left my scarf there your sister house   you still got your drawer, even now    your sweet disposition my wide-eyed gaze  We singing car, getting lost upstate  Autumn leaves falling down like pieces place   I can picture after all these days   I know long gone  That magic not here no more   I might be okay, I not fine all       there we arе again that little town street  You almost ran red  you were lookin me  Wind my hair, I was there  I remember all too well  Photo album counter, your cheeks were turning red  You used be little kid glasses twin-sized bed   your mother telling stories  you tee-ball team  You taught me  your past, thinking your future was me   I know long gone  There was nothing else I could do   I forget you long enough   forget I needed   there we are again middle night  We dancing  kitchen refrigerator light  Down stairs, I was there  I remember all too well, yeah   maybe we got lost translation  Maybe I asked too much   maybe this thing was masterpiece   you tore all up  Running scared, I was there  I remember all too well   you call me up again  Just break me like promise  So casually cruel name being honest  I crumpled up piece paper lying here   I remember all, all, all  Too well  Time won fly, like I paralyzed  I like be my old self again, I still trying find  After plaid shirt days nights you made me your own  Now you mail back my things I walk home alone   you keep my old scarf that very first week   reminds you innocence smells like me  You can get rid   you remember all too well, yeah   there we are again I loved you so  Back before you lost one real thing you ever known   was rare, I was there  I remember all too well  Wind my hair, you were there  You remember all  Down stairs, you were there  You remember all   was rare, I was there"
Red,All Too Well,Pop,"I walked door you, air was cold   something  felt like home somehow   I left my scarf there your sister house   you still got your drawer, even now    your sweet disposition my wide-eyed gaze  We singing car, getting lost upstate  Autumn leaves falling down like pieces place   I can picture after all these days   I know long gone  That magic not here no more   I might be okay, I not fine all       there we arе again that little town street  You almost ran red  you were lookin me  Wind my hair, I was there  I remember all too well  Photo album counter, your cheeks were turning red  You used be little kid glasses twin-sized bed   your mother telling stories  you tee-ball team  You taught me  your past, thinking your future was me   I know long gone  There was nothing else I could do   I forget you long enough   forget I needed   there we are again middle night  We dancing  kitchen refrigerator light  Down stairs, I was there  I remember all too well, yeah   maybe we got lost translation  Maybe I asked too much   maybe this thing was masterpiece   you tore all up  Running scared, I was there  I remember all too well   you call me up again  Just break me like promise  So casually cruel name being honest  I crumpled up piece paper lying here   I remember all, all, all  Too well  Time won fly, like I paralyzed  I like be my old self again, I still trying find  After plaid shirt days nights you made me your own  Now you mail back my things I walk home alone   you keep my old scarf that very first week   reminds you innocence smells like me  You can get rid   you remember all too well, yeah   there we are again I loved you so  Back before you lost one real thing you ever known   was rare, I was there  I remember all too well  Wind my hair, you were there  You remember all  Down stairs, you were there  You remember all   was rare, I was there"
1989,All You Had to Do Was Stay,Pop,"(Hey, hey, hey)  (Hey, hey, hey)  (Hey, hey, hey)  People like you always want back   love they gave away   people like me wanna believe you   you say you changed   more I think now   less I know  All I know is that you drove us  Off road  (Stay) Hey, all you had do was stay  Had me palm your hand, then   you have go lock me out I let you in?  (Stay) Hey, now you say you want back  Now that just too late  Well, could been easy  All you had do was (Stay)  All you had do was (Stay)  All you had do was (Stay)  All you had do was (Stay)  All you had do was stay  Here you are now, calling me up   I don know say  I been picking up pieces   mess you made  People like you always want back   love they pushed aside   people like me are gone forever   you say goodbye  All you had do was (Stay)  All you had do was (Stay, stay, stay, stay, stay)  Let me remind you  This was you wanted (   oh-oh-oh)  You ended  You were all I wanted (   oh-oh-oh)   not like this  Not like this  Not like this    all you had do was...  Had me palm your hand, then   you want go lock me out I let you in?  (Stay) Hey, now you say you want back  Well, could been easy  All you had do was...  (Stay) Hey, all you had do was stay  Now that just too late  Well, could been easy (All you had do was stay)  All you had do was (Stay)  All you had do was (Stay) (Oh)  All you had do was (Stay)  All you had do was (Stay) (Ooh)  All you had do was (Stay)"
Midnights,Anti-Hero,Synth Pop,"I have this thing I get older, just never wiser  Midnights become my afternoons   my depression works graveyard shift, all people  I ghosted stand there room  I should not be left my own devices  They come prices vices  I end up crisis  (Tale as old as time)  I wake up screaming dreaming  One day, I watch as you leaving   you got tired my scheming  ( last time)   me, hi  I problem, me   teatime, everybody agrees  I stare directly sun, never mirror   must be exhausting always rooting anti-hero  Sometimes, I feel like everybody is sexy baby   I monster hill  Too big hang out, slowly lurching toward your favorite city  Pierced heart, never killed  Did you hear my covert narcissism I disguise as altruism  Like some kind congressman?  ( tale as old as time)  I wake up screaming dreaming  One day, I watch as you leaving   life will lose all its meaning  ( last time)   me, hi  I problem, me (I problem, me)   teatime, everybody agrees  I have this dream my daughter-in-law kills me money  She thinks I left them will   family gathers  reads then someone screams out  ""She laughing up us Hell""  I problem, me   me, hi   me, hi  Everybody agrees, everybody agrees   me, hi (Hi)  I problem, me (I problem, me)   teatime (Teatime), everybody agrees (Everybody agrees)  I stare directly sun, never mirror"
