content,date,users
@BBCR1 @DermotKennedy @BBCSounds WOW - Absolutely love this 🥰👏,2022-11-15 17:17:51,@BBCR1
@BBCR1 @DermotKennedy @BBCSounds WOW - Absolutely love this 🥰👏,2022-11-15 17:17:51,@DermotKennedy
@BBCR1 @DermotKennedy @BBCSounds WOW - Absolutely love this 🥰👏,2022-11-15 17:17:51,@BBCSounds
Jack’s version of ‘sexy baby’ is ‘art bro’ and we sincerely hope it confuses just as many people. Download Anti Hero featuring @bleachersmusic now at https://t.co/WdrCmvMfo8 https://t.co/52TIyZP0hf,2022-11-07 21:04:55,@bleachersmusic
"Feeling like the luckiest person alive to get to take these brilliant artists out on tour w/ me: @paramore, @beabad00bee, @phoebe_bridgers, @_girlinred_, @whereisMUNA, @HAIMtheband, @gracieabrams, @whoisgayle &amp; @OwennMusic. I can’t WAIT to see you. It’s been a long time coming 🥰",2022-11-01 12:24:21,"@paramore,"
"Feeling like the luckiest person alive to get to take these brilliant artists out on tour w/ me: @paramore, @beabad00bee, @phoebe_bridgers, @_girlinred_, @whereisMUNA, @HAIMtheband, @gracieabrams, @whoisgayle &amp; @OwennMusic. I can’t WAIT to see you. It’s been a long time coming 🥰",2022-11-01 12:24:21,"@beabad00bee,"
"Feeling like the luckiest person alive to get to take these brilliant artists out on tour w/ me: @paramore, @beabad00bee, @phoebe_bridgers, @_girlinred_, @whereisMUNA, @HAIMtheband, @gracieabrams, @whoisgayle &amp; @OwennMusic. I can’t WAIT to see you. It’s been a long time coming 🥰",2022-11-01 12:24:21,"@phoebe_bridgers,"
"Feeling like the luckiest person alive to get to take these brilliant artists out on tour w/ me: @paramore, @beabad00bee, @phoebe_bridgers, @_girlinred_, @whereisMUNA, @HAIMtheband, @gracieabrams, @whoisgayle &amp; @OwennMusic. I can’t WAIT to see you. It’s been a long time coming 🥰",2022-11-01 12:24:21,"@_girlinred_,"
"Feeling like the luckiest person alive to get to take these brilliant artists out on tour w/ me: @paramore, @beabad00bee, @phoebe_bridgers, @_girlinred_, @whereisMUNA, @HAIMtheband, @gracieabrams, @whoisgayle &amp; @OwennMusic. I can’t WAIT to see you. It’s been a long time coming 🥰",2022-11-01 12:24:21,"@whereisMUNA,"
"Feeling like the luckiest person alive to get to take these brilliant artists out on tour w/ me: @paramore, @beabad00bee, @phoebe_bridgers, @_girlinred_, @whereisMUNA, @HAIMtheband, @gracieabrams, @whoisgayle &amp; @OwennMusic. I can’t WAIT to see you. It’s been a long time coming 🥰",2022-11-01 12:24:21,"@HAIMtheband,"
"Feeling like the luckiest person alive to get to take these brilliant artists out on tour w/ me: @paramore, @beabad00bee, @phoebe_bridgers, @_girlinred_, @whereisMUNA, @HAIMtheband, @gracieabrams, @whoisgayle &amp; @OwennMusic. I can’t WAIT to see you. It’s been a long time coming 🥰",2022-11-01 12:24:21,"@gracieabrams,"
"Feeling like the luckiest person alive to get to take these brilliant artists out on tour w/ me: @paramore, @beabad00bee, @phoebe_bridgers, @_girlinred_, @whereisMUNA, @HAIMtheband, @gracieabrams, @whoisgayle &amp; @OwennMusic. I can’t WAIT to see you. It’s been a long time coming 🥰",2022-11-01 12:24:21,@whoisgayle
"Feeling like the luckiest person alive to get to take these brilliant artists out on tour w/ me: @paramore, @beabad00bee, @phoebe_bridgers, @_girlinred_, @whereisMUNA, @HAIMtheband, @gracieabrams, @whoisgayle &amp; @OwennMusic. I can’t WAIT to see you. It’s been a long time coming 🥰",2022-11-01 12:24:21,@OwennMusic.
Can I ask you a question… did you ever wonder who was responsible for those immaculate crowd vocals?  Question…? and Bejeweled instrumental versions available now at https://t.co/WdrCmvLHyA  @jackantonoff @rachelantonoff @dylanobrien @austinswift7 https://t.co/AB0CWjjHtr,2022-10-27 18:05:57,@jackantonoff
Can I ask you a question… did you ever wonder who was responsible for those immaculate crowd vocals?  Question…? and Bejeweled instrumental versions available now at https://t.co/WdrCmvLHyA  @jackantonoff @rachelantonoff @dylanobrien @austinswift7 https://t.co/AB0CWjjHtr,2022-10-27 18:05:57,@rachelantonoff
Can I ask you a question… did you ever wonder who was responsible for those immaculate crowd vocals?  Question…? and Bejeweled instrumental versions available now at https://t.co/WdrCmvLHyA  @jackantonoff @rachelantonoff @dylanobrien @austinswift7 https://t.co/AB0CWjjHtr,2022-10-27 18:05:57,@dylanobrien
Can I ask you a question… did you ever wonder who was responsible for those immaculate crowd vocals?  Question…? and Bejeweled instrumental versions available now at https://t.co/WdrCmvLHyA  @jackantonoff @rachelantonoff @dylanobrien @austinswift7 https://t.co/AB0CWjjHtr,2022-10-27 18:05:57,@austinswift7
"Bejeweled video is out NOW! Directed by this tired tacky wench. Got to make this with my best friends @HAIMtheband, greatest of greats @LauraDern, icon of burlesque and glamour @DitaVonTeese, genius and actual dame @patmcgrathreal and my partner in Midnights mayhem @jackantonoff. https://t.co/RO8jA3csYW",2022-10-25 04:09:52,"@HAIMtheband,"
"Bejeweled video is out NOW! Directed by this tired tacky wench. Got to make this with my best friends @HAIMtheband, greatest of greats @LauraDern, icon of burlesque and glamour @DitaVonTeese, genius and actual dame @patmcgrathreal and my partner in Midnights mayhem @jackantonoff. https://t.co/RO8jA3csYW",2022-10-25 04:09:52,"@LauraDern,"
"Bejeweled video is out NOW! Directed by this tired tacky wench. Got to make this with my best friends @HAIMtheband, greatest of greats @LauraDern, icon of burlesque and glamour @DitaVonTeese, genius and actual dame @patmcgrathreal and my partner in Midnights mayhem @jackantonoff. https://t.co/RO8jA3csYW",2022-10-25 04:09:52,"@DitaVonTeese,"
"Bejeweled video is out NOW! Directed by this tired tacky wench. Got to make this with my best friends @HAIMtheband, greatest of greats @LauraDern, icon of burlesque and glamour @DitaVonTeese, genius and actual dame @patmcgrathreal and my partner in Midnights mayhem @jackantonoff. https://t.co/RO8jA3csYW",2022-10-25 04:09:52,@patmcgrathreal
"Bejeweled video is out NOW! Directed by this tired tacky wench. Got to make this with my best friends @HAIMtheband, greatest of greats @LauraDern, icon of burlesque and glamour @DitaVonTeese, genius and actual dame @patmcgrathreal and my partner in Midnights mayhem @jackantonoff. https://t.co/RO8jA3csYW",2022-10-25 04:09:52,@jackantonoff.
@JanetJackson I feel like I’m dreaming. I have so much love and gratitude for you and all you’ve done to inspire female artists everywhere 🥹🙏💗,2022-10-21 22:00:57,@JanetJackson
"with some help from the excellent @birbigs, @bejohnce, and @meellisday who fabulously portray… get ready for it… my grown sons and daughter in law? Anyway. Forever grateful to my incredible DP @The_RinaYang and our amazing crew. 🌌🤩",2022-10-21 12:07:23,"@birbigs,"
"with some help from the excellent @birbigs, @bejohnce, and @meellisday who fabulously portray… get ready for it… my grown sons and daughter in law? Anyway. Forever grateful to my incredible DP @The_RinaYang and our amazing crew. 🌌🤩",2022-10-21 12:07:23,"@bejohnce,"
"with some help from the excellent @birbigs, @bejohnce, and @meellisday who fabulously portray… get ready for it… my grown sons and daughter in law? Anyway. Forever grateful to my incredible DP @The_RinaYang and our amazing crew. 🌌🤩",2022-10-21 12:07:23,@meellisday
"with some help from the excellent @birbigs, @bejohnce, and @meellisday who fabulously portray… get ready for it… my grown sons and daughter in law? Anyway. Forever grateful to my incredible DP @The_RinaYang and our amazing crew. 🌌🤩",2022-10-21 12:07:23,@The_RinaYang
"this is our first album we’ve done with just the two of us as main collaborators. We were so lucky to also work with @sam_dew, @sounwave, Lana Del Rey, @Jahaansweet, @thekeanubeats, William Bowery, and @ZoeKravitz. @Sharp_Stick was our excellent engineer.",2022-10-21 04:02:11,"@sam_dew,"
"this is our first album we’ve done with just the two of us as main collaborators. We were so lucky to also work with @sam_dew, @sounwave, Lana Del Rey, @Jahaansweet, @thekeanubeats, William Bowery, and @ZoeKravitz. @Sharp_Stick was our excellent engineer.",2022-10-21 04:02:11,"@sounwave,"
"this is our first album we’ve done with just the two of us as main collaborators. We were so lucky to also work with @sam_dew, @sounwave, Lana Del Rey, @Jahaansweet, @thekeanubeats, William Bowery, and @ZoeKravitz. @Sharp_Stick was our excellent engineer.",2022-10-21 04:02:11,"@Jahaansweet,"
"this is our first album we’ve done with just the two of us as main collaborators. We were so lucky to also work with @sam_dew, @sounwave, Lana Del Rey, @Jahaansweet, @thekeanubeats, William Bowery, and @ZoeKravitz. @Sharp_Stick was our excellent engineer.",2022-10-21 04:02:11,"@thekeanubeats,"
"this is our first album we’ve done with just the two of us as main collaborators. We were so lucky to also work with @sam_dew, @sounwave, Lana Del Rey, @Jahaansweet, @thekeanubeats, William Bowery, and @ZoeKravitz. @Sharp_Stick was our excellent engineer.",2022-10-21 04:02:11,@ZoeKravitz.
"this is our first album we’ve done with just the two of us as main collaborators. We were so lucky to also work with @sam_dew, @sounwave, Lana Del Rey, @Jahaansweet, @thekeanubeats, William Bowery, and @ZoeKravitz. @Sharp_Stick was our excellent engineer.",2022-10-21 04:02:11,@Sharp_Stick
Midnights is a wild ride of an album and I couldn’t be happier that my co pilot on this adventure was @jackantonoff. He’s my friend for life (presumptuous I know but I stand by it) and we’ve been making music together for nearly a decade HOWEVER…  https://t.co/jjqUNkGSme https://t.co/v7LboJJ9Ik,2022-10-21 04:02:10,@jackantonoff.
"Here’s the teaser trailer for the videos I’ve made for Midnights 🌌 Thank you @amazonmusic for premiering this, the first video for Anti-Hero will be out tomorrow at 8am ET. And Midnights will be here SO SOON!!! https://t.co/jjqUNkpPke https://t.co/xzmqXa5Cqy",2022-10-21 02:37:22,@amazonmusic
Midnights teaser trailer tonight during the 3rd quarter of Thursday Night Football on @primevideo so … meet me there? https://t.co/hr8ii9Oinj,2022-10-20 13:13:24,@primevideo
I wrote this one alone in the middle of the night and then @AaronDessner and I meticulously worked on a sound that we felt would be authentic to the moment when this story takes place. I made a wish that one day you would hear it. ‘Carolina’ is out now 🥺  https://t.co/2xqE0fEr10,2022-06-24 04:03:09,@AaronDessner
@DamonAlbarn I was such a big fan of yours until I saw this. I write ALL of my own songs. Your hot take is completely false and SO damaging. You don’t have to like my songs but it’s really fucked up to try and discredit my writing. WOW. https://t.co/t6GyXBU2Jd,2022-01-24 20:40:58,@DamonAlbarn
"NO PROBLEMS TODAY JUST CHAMPAGNE🥂 I wanted to share this video with you from when @aaron_dessner and I were doing our fittings for the video and there was a piano, so ofc this happened. SO stoked evermore has been honored like this. Congrats to all our fellow nominees #GRAMMYs https://t.co/e50IShhoe6",2021-11-23 22:45:00,@aaron_dessner
"THANK YOU to the team that made All Too Well (the 10 min): The ultimate craftsman of songs that sound epic @jackantonoff, bad ass @Sharp_Stick, @rowedizzle and @lizrose06! Love you all. ♥️",2021-11-22 22:20:14,"@jackantonoff,"
"THANK YOU to the team that made All Too Well (the 10 min): The ultimate craftsman of songs that sound epic @jackantonoff, bad ass @Sharp_Stick, @rowedizzle and @lizrose06! Love you all. ♥️",2021-11-22 22:20:14,"@Sharp_Stick,"
"THANK YOU to the team that made All Too Well (the 10 min): The ultimate craftsman of songs that sound epic @jackantonoff, bad ass @Sharp_Stick, @rowedizzle and @lizrose06! Love you all. ♥️",2021-11-22 22:20:14,@rowedizzle
"THANK YOU to the team that made All Too Well (the 10 min): The ultimate craftsman of songs that sound epic @jackantonoff, bad ass @Sharp_Stick, @rowedizzle and @lizrose06! Love you all. ♥️",2021-11-22 22:20:14,@lizrose06!
"Carole, you and your music mean more to me than I could ever sum up in a speech or a performance. But I TRIED. #RockHall2021 tomorrow at 8pm ET    📷: @GettyImages https://t.co/XcllXMJAjt",2021-11-19 16:27:34,@GettyImages
One of the saddest songs I’ve ever written just got sadder 🙃Drove up to Long Pond Studios to record All Too Well (Sad Girl Autumn Version) with the besties @aaron_dessner @heyjonlow   https://t.co/UnbELgJGAi https://t.co/Z1XK2zQkwf,2021-11-18 01:05:53,@aaron_dessner
One of the saddest songs I’ve ever written just got sadder 🙃Drove up to Long Pond Studios to record All Too Well (Sad Girl Autumn Version) with the besties @aaron_dessner @heyjonlow   https://t.co/UnbELgJGAi https://t.co/Z1XK2zQkwf,2021-11-18 01:05:53,@heyjonlow
"So grateful for @Miles_Teller for being the greatest dance partner and friend to me. And @keleighteller, who is the coolest living human on planet earth. The bride was willing to risk it all 🥰🧣 https://t.co/PXHlKCo1iF",2021-11-17 22:11:24,@Miles_Teller
