content,date,likeCount,media,outlinks,quoteCount,quotedTweet,replyCount,retweetCount,retweetedTweet,url,id,conversationId
Thanks for all the beautiful wishes today!! I spent my 33rd birthday in the studio of course 😏 Wouldn’t have it any other way. Love you! https://t.co/axPfJT0d9A,2022-12-13 23:07:26,602625,1,0,24562,0,22331,96825,0,https://twitter.com/taylorswift13/status/1602802403492995072,1602802403492995072,1602802403492995072
@BBCR1 @DermotKennedy @BBCSounds WOW - Absolutely love this 🥰👏,2022-11-15 17:17:51,32877,0,0,1708,0,2521,3115,0,https://twitter.com/taylorswift13/status/1592567568191356930,1592567568191356930,1592503899759394818
Anti hero but make it acoustic 🥲  Now at https://t.co/WdrCmvMfo8 https://t.co/UgRTbfj0LN,2022-11-11 00:31:01,228241,1,1,8938,0,7083,23829,0,https://twitter.com/taylorswift13/status/1590864637356310528,1590864637356310528,1590864637356310528
Take your self loathing to the dancefloor! 2 more Anti Hero remixes available on my site until 10pm ET tonight 🙃  https://t.co/WdrCmvMfo8 https://t.co/tAYh48ILOB,2022-11-10 19:01:05,161916,1,1,11507,0,5755,17477,0,https://twitter.com/taylorswift13/status/1590781606918524929,1590781606918524929,1590781606918524929
The anti hero (Roosevelt remix) makes me feel hyped enough for an imaginary funeral brawl. It’s available on my site now!  https://t.co/WdrCmvu6a0 https://t.co/YsUfEl2vfe,2022-11-09 22:21:38,111888,1,1,1619,0,2434,13768,0,https://twitter.com/taylorswift13/status/1590469691864018945,1590469691864018945,1590469691864018945
Jack’s version of ‘sexy baby’ is ‘art bro’ and we sincerely hope it confuses just as many people. Download Anti Hero featuring @bleachersmusic now at https://t.co/WdrCmvMfo8 https://t.co/52TIyZP0hf,2022-11-07 21:04:55,213887,1,1,7427,0,5178,27945,0,https://twitter.com/taylorswift13/status/1589725607075934208,1589725607075934208,1589725607075934208
UM. Looks like I’ll get to see more of your beautiful faces than previously expected… we’re adding 8 shows to the tour 😆  https://t.co/KFuqvr0hhO https://t.co/4LTYSnwKJO,2022-11-04 13:00:22,317294,1,1,14803,0,12135,30198,0,https://twitter.com/taylorswift13/status/1588516506349891584,1588516506349891584,1588516506349891584
"Feeling like the luckiest person alive to get to take these brilliant artists out on tour w/ me: @paramore, @beabad00bee, @phoebe_bridgers, @_girlinred_, @whereisMUNA, @HAIMtheband, @gracieabrams, @whoisgayle &amp; @OwennMusic. I can’t WAIT to see you. It’s been a long time coming 🥰",2022-11-01 12:24:21,189786,0,0,11246,0,2096,19687,0,https://twitter.com/taylorswift13/status/1587420275959910402,1587420275959910402,1587420273325838336
"I’m enchanted to announce my next tour: Taylor Swift | The Eras Tour, a journey through the musical eras of my career (past &amp; present!) The first leg of the tour will be in stadiums across the US, with international dates to be announced as soon as we can! https://t.co/KFuqvrhSGo https://t.co/eVyTcuW8sK",2022-11-01 12:24:20,722741,1,1,106955,0,25778,149044,0,https://twitter.com/taylorswift13/status/1587420273325838336,1587420273325838336,1587420273325838336
10 out of 10 of the Hot 100??? On my 10th album??? I AM IN SHAMBLES. https://t.co/q1n5Zc6pYA,2022-10-31 17:54:24,807209,0,1,22311,1,25126,148313,0,https://twitter.com/taylorswift13/status/1587140950186512386,1587140950186512386,1587140950186512386
