,name,album,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
0,Fearless,Fearless,1,4lIbdZwGa2hgkxigHJumaV,spotify:track:4lIbdZwGa2hgkxigHJumaV,0.0393,0.403,0.699,0.0,0.303,-4.412,0.0352,200.056,0.448,28,243400
1,Fifteen,Fearless,2,2l9Pipz6AiVOabtKJVl3O9,spotify:track:2l9Pipz6AiVOabtKJVl3O9,0.0665,0.558,0.634,0.0,0.145,-4.437,0.0267,95.349,0.208,24,295213
2,Love Story,Fearless,3,0wi9VaczZO8tbBwltGiwO5,spotify:track:0wi9VaczZO8tbBwltGiwO5,0.0198,0.618,0.637,7.99e-05,0.169,-5.412,0.0289,119.056,0.269,35,234707
3,Hey Stephen,Fearless,4,4vwfVWo6hSf0vJuBpNwMWJ,spotify:track:4vwfVWo6hSf0vJuBpNwMWJ,0.181,0.841,0.543,2.24e-06,0.0903,-7.338,0.0315,115.994,0.827,23,256053
4,White Horse,Fearless,5,04g3rUk3RzqaXi02FJT2Zl,spotify:track:04g3rUk3RzqaXi02FJT2Zl,0.272,0.582,0.334,0.0,0.102,-8.035,0.026,92.71,0.231,24,235427
5,You Belong With Me,Fearless,6,3hD7Dd9WVVkT6HAtil3R2D,spotify:track:3hD7Dd9WVVkT6HAtil3R2D,0.17,0.69,0.774,1.64e-05,0.102,-4.467,0.039,129.98,0.414,34,232120
6,Breathe,Fearless,7,5XQJNlITnzHbLqpX60gUrj,spotify:track:5XQJNlITnzHbLqpX60gUrj,0.388,0.487,0.476,0.0,0.135,-7.385,0.0279,147.913,0.156,23,264973
7,Tell Me Why,Fearless,8,3ZeJG2dbry1YgRbGn5IukZ,spotify:track:3ZeJG2dbry1YgRbGn5IukZ,0.0667,0.607,0.854,2.75e-06,0.356,-3.079,0.0386,99.989,0.492,20,201507
8,You're Not Sorry,Fearless,9,5WbxKDVDEHtDWL9Mr6ZLoc,spotify:track:5WbxKDVDEHtDWL9Mr6ZLoc,0.141,0.469,0.46,1.39e-06,0.113,-4.098,0.0273,133.956,0.302,21,263240
9,The Way I Loved You,Fearless,10,177nprYS2qLchToEJVzTec,spotify:track:177nprYS2qLchToEJVzTec,0.0393,0.434,0.719,0.0,0.113,-3.715,0.0331,160.92,0.419,23,245400
10,Forever & Always,Fearless,11,0AXwcrtfYGYgQgmzyk8PA1,spotify:track:0AXwcrtfYGYgQgmzyk8PA1,0.0883,0.603,0.811,0.0,0.101,-4.98,0.0532,128.007,0.529,21,226333
11,The Best Day,Fearless,12,361O1jOM9zsU5Wmo3hhsfH,spotify:track:361O1jOM9zsU5Wmo3hhsfH,0.639,0.668,0.448,4.06e-06,0.14,-8.566,0.0286,126.074,0.383,19,246320
12,Change,Fearless,13,5nUPw1RvAkqDIdebpDy3JI,spotify:track:5nUPw1RvAkqDIdebpDy3JI,0.00418,0.547,0.763,0.0,0.107,-4.206,0.0375,96.018,0.231,18,280293
13,Our Song,Fearless,14,3iaYan8tKzKGP0MNWbSgxM,spotify:track:3iaYan8tKzKGP0MNWbSgxM,0.00609,0.522,0.691,0.0,0.249,-4.825,0.0307,177.865,0.651,25,201107
14,Teardrops On My Guitar,Fearless,15,7gfzBsM4xaMb8c2WdpzEat,spotify:track:7gfzBsM4xaMb8c2WdpzEat,0.0174,0.514,0.554,0.00572,0.118,-6.338,0.0258,99.947,0.171,26,194653
15,Should've Said No,Fearless,16,5p0RhYSSIU86G63ugc7nAA,spotify:track:5p0RhYSSIU86G63ugc7nAA,0.00585,0.405,0.758,0.00029,0.246,-4.385,0.0376,168.077,0.444,23,245827
16,Love Story - J Stax Radio Mix,Fearless,17,4i0M7glXqIIRKPwbLtpExi,spotify:track:4i0M7glXqIIRKPwbLtpExi,0.00664,0.696,0.827,0.0031,0.297,-6.464,0.0313,127.997,0.324,22,221800
17,State Of Grace,Red (Deluxe Edition),1,0b16LTzby1YRVd2nq2Z0fw,spotify:track:0b16LTzby1YRVd2nq2Z0fw,0.000197,0.588,0.825,0.00138,0.0884,-5.882,0.0328,129.968,0.397,47,295720
18,Red,Red (Deluxe Edition),2,7gJtmLyPTwKzhGzMBXtuXH,spotify:track:7gJtmLyPTwKzhGzMBXtuXH,0.0773,0.602,0.896,8.87e-05,0.0911,-4.267,0.0437,124.978,0.641,57,223093
19,Treacherous,Red (Deluxe Edition),3,7nECwCDHS1JvQbrmuorZIH,spotify:track:7nECwCDHS1JvQbrmuorZIH,0.101,0.704,0.621,4.3e-06,0.14,-8.086,0.0334,109.995,0.395,46,242760
20,I Knew You Were Trouble.,Red (Deluxe Edition),4,3lKZf71jeNi14udIFPJ29V,spotify:track:3lKZf71jeNi14udIFPJ29V,0.00454,0.622,0.469,2.25e-06,0.0335,-6.798,0.0363,77.019,0.679,62,219720
21,All Too Well,Red (Deluxe Edition),5,6GNRkaWUB0Lwc19SdkTgx8,spotify:track:6GNRkaWUB0Lwc19SdkTgx8,0.0382,0.602,0.609,0.0002,0.128,-7.803,0.0243,93.06,0.337,62,329160
22,22,Red (Deluxe Edition),6,3WC5CVAahvn98hiseoIvbw,spotify:track:3WC5CVAahvn98hiseoIvbw,0.00215,0.661,0.729,0.0013,0.0477,-6.561,0.0376,103.987,0.668,62,232120
23,I Almost Do,Red (Deluxe Edition),7,1eyqSYBCTane4rl4vc6PWJ,spotify:track:1eyqSYBCTane4rl4vc6PWJ,0.0173,0.567,0.481,4.13e-05,0.182,-7.357,0.027,145.865,0.233,46,244560
24,We Are Never Ever Getting Back Together,Red (Deluxe Edition),8,6kISMRfweKSvgHR0urMQFG,spotify:track:6kISMRfweKSvgHR0urMQFG,0.00957,0.628,0.676,2.65e-05,0.121,-5.911,0.0916,85.984,0.75,61,193147
25,Stay Stay Stay,Red (Deluxe Edition),9,0F2S1QlnMaOfmNHIgmES3k,spotify:track:0F2S1QlnMaOfmNHIgmES3k,0.307,0.729,0.748,1.29e-06,0.0962,-6.67,0.0245,99.981,0.928,47,205853
